Language	Lexeme	Metaphor	Determinism	Entity_concerned	Agency(FATE)	Agency(Entity_concerned)	Fairness	Sentiment
EN	destiny	Thing	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Neutral
EN	destiny	Precious Object	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Neutral
EN	destiny	Human	Deterministic	Human-unspecified	Agentive	Agentive	Neutral	Neutral
EN	destiny	Destination	Deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Positive
EN	destiny	Human	Unspecified	Human-unspecified	Agentive	Non-agentive	Unjust	Negative
EN	destiny	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Positive
EN	destiny	Thing	Non-deterministic	Human-unspecified	Agentive	Agentive	Neutral	Negative
EN	destiny	Enemy/Oppressor/Danger	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Neutral
EN	destiny	Thing	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Precious Object	Deterministic	Human-unspecified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Thing	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Negative
EN	destiny	Human	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Precious Object	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Positive
EN	destiny	Thing	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Positive
EN	destiny	Thing	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Negative
EN	destiny	Destination	Unspecified	Human-specified	Non-agentive	Agentive	Non-applicable	Neutral
EN	destiny	Human	Deterministic	Human-specified	Agentive	Non-agentive	Just	Negative
EN	destiny	God/Providence	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	God/Providence	Deterministic	Human-unspecified	Agentive	Non-agentive	Neutral	Positive
EN	destiny	Precious Object	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
EN	destiny	Precious Object	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Human	Deterministic	Human-unspecified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	Thing	Non-deterministic	Unspecified	Non-agentive	Non-applicable	Non-applicable	Neutral
EN	destiny	Human	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
EN	destiny	God/Providence	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	Human	Non-deterministic	Human-unspecified	Non-agentive	Agentive	Non-applicable	Positive
PL	los	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Neutral	Neutral
PL	los	Human	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	los	God/Providence	Deterministic	Human-unspecified	Agentive	Non-agentive	Neutral	Positive
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	Thing	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Neutral
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Just	Negative
PL	los	God/Providence	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	God/Providence	Deterministic	Human-specified	Non-agentive	Non-agentive	Neutral	Negative
PL	los	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Unjust	Positive
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Just	Negative
PL	los	Enemy/Oppressor/Danger	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	los	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Negative
PL	los	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Just	Positive
PL	los	Human	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Negative
PL	los	Thing	Non-deterministic	Human-unspecified	Non-agentive	Non-agentive	Non-applicable	Negative
PL	los	Human	Non-deterministic	Human-specified	Agentive	Agentive	Neutral	Neutral
PL	los	God/Providence	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Negative
PL	los	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	Thing	Non-deterministic	Human-specified	Agentive	Agentive	Unjust	Negative
PL	los	Human	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Positive
PL	los	Human	Deterministic	Human-specified	Agentive	Non-agentive	Just	Negative
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	los	Human	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	los	Enemy/Oppressor/Danger	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	los	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Positive
PL	los	Human	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Positive
PL	los	Thing	Non-deterministic	Non-human	Non-agentive	Non-agentive	Non-applicable	Negative
PL	los	Human	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Neutral
PL	przeznaczenie	Human	Deterministic	Non-human	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Unjust	Positive
PL	przeznaczenie	God/Providence	Unspecified	Human-unspecified	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	God/Providence	Unspecified	Unspecified	Non-agentive	Non-applicable	Non-applicable	Negative
PL	przeznaczenie	Human	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	przeznaczenie	Human	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	Enemy/Oppressor/Danger	Deterministic	Human-unspecified	Agentive	Non-agentive	Just	Negative
PL	przeznaczenie	Human	Deterministic	Unspecified	Agentive	Non-applicable	Neutral	Neutral
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Neutral	Neutral
PL	przeznaczenie	Human	Non-deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Positive
PL	przeznaczenie	Human	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Neutral
PL	przeznaczenie	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	God/Providence	Deterministic	Human-specified	Agentive	Agentive	Unjust	Negative
PL	przeznaczenie	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Unjust	Negative
PL	przeznaczenie	Enemy/Oppressor/Danger	Deterministic	Human-specified	Agentive	Agentive	Neutral	Negative
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Unjust	Neutral
PL	przeznaczenie	Destination	Unspecified	Human-specified	Non-agentive	Agentive	Non-applicable	Negative
PL	przeznaczenie	Destination	Unspecified	Human-specified	Non-agentive	Agentive	Non-applicable	Neutral
PL	przeznaczenie	Thing	Deterministic	Non-human	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	Human	Deterministic	Human-unspecified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Non-agentive	Unjust	Neutral
PL	przeznaczenie	Human	Non-deterministic	Human-specified	Agentive	Agentive	Neutral	Neutral
PL	przeznaczenie	Human	Unspecified	Human-specified	Agentive	Agentive	Neutral	Negative
PL	przeznaczenie	Enemy/Oppressor/Danger	Deterministic	Human-specified	Agentive	Agentive	Unjust	Negative
PL	przeznaczenie	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Negative
PL	przeznaczenie	Thing	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	Precious Object	Non-deterministic	Human-specified	Non-agentive	Agentive	Non-applicable	Positive
PL	przeznaczenie	Human	Unspecified	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	Precious Object	Non-deterministic	Human-specified	Agentive	Agentive	Neutral	Positive
PL	przeznaczenie	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Negative
PL	przeznaczenie	Enemy/Oppressor/Danger	Non-deterministic	Human-specified	Agentive	Agentive	Unjust	Negative
PL	przeznaczenie	Destination	Deterministic	Non-human	Non-agentive	Agentive	Non-applicable	Negative
PL	przeznaczenie	Human	Unspecified	Human-unspecified	Agentive	Non-agentive	Neutral	Positive
PL	przeznaczenie	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Negative
PL	przeznaczenie	Thing	Deterministic	Unspecified	Non-agentive	Non-applicable	Non-applicable	Positive
PL	przeznaczenie	Thing	Deterministic	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	God/Providence	Deterministic	Human-unspecified	Agentive	Non-agentive	Unjust	Negative
PL	przeznaczenie	God/Providence	Deterministic	Human-specified	Agentive	Non-agentive	Neutral	Neutral
PL	przeznaczenie	God/Providence	Unspecified	Human-specified	Non-agentive	Non-agentive	Non-applicable	Neutral
PL	przeznaczenie	Thing	Non-deterministic	Unspecified	Non-agentive	Non-applicable	Non-applicable	Neutral
PL	przeznaczenie	Human	Deterministic	Human-specified	Agentive	Non-agentive	Just	Neutral
PL	przeznaczenie	Enemy/Oppressor/Danger	Deterministic	Unspecified	Agentive	Non-agentive	Neutral	Negative
